FIELD,VALUE,N,KM,PCT_LEN,FINE
SIZED_BY,capacity,1131,29.682954833,1.992578002928895,
SIZED_BY,dod,3116,81.112403026,5.444969712200846,
SIZED_BY,minimum,52378,1378.174777616925,92.51507343257852,
SIZED_BY,velocity,27,0.7057913569999998,0.04737885229175474,
GRAD_BY,cover_min,7187,185.81771390825924,12.47370052514111,
GRAD_BY,ground,3167,82.70200773400002,5.551677800810396,
GRAD_BY,table11,29709,785.5387344827855,52.73218962146039,
GRAD_BY,uniform,16574,435.1842219768801,29.2133486309394,
GRAD_BY,vmax,15,0.4332487309999999,0.029083421648700043,
GRAD_FINE,,29709,785.5387344827855,52.73218962146039,G203-p29 Table 11 floor for this diameter
GRAD_FINE,,15,0.4332487309999999,0.029083421648700043,held back by the 3.0 m/s cap or the 25 % publishing bound
GRAD_FINE,,1341,33.379027849,2.24069055878243,"steepened to arrive at the level its downstream chamber needs, instead of dropping into it (P5 crown matching)"
GRAD_FINE,,5846,152.43868605925923,10.23300996635868,steepened to hold 1.30 m of cover at the downstream end (G203-p33)
GRAD_FINE,,3167,82.70200773400002,5.551677800810396,the ground fall; both minima already satisfied
GRAD_FINE,,16574,435.1842219768801,29.2133486309394,"the run's common gradient (P1), laid to land on its junction invert"
